,Team,Match Up,Game Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
49,DEN,DEN @ LAL,08/10/2020,L,48,133.0,137.8,-4.8,60.0,1.93,20.5,40.0,61.9,51.9,15.4,66.9,69.4,90.5,50.4
50,PHX,PHX vs. OKC,08/10/2020,W,48,118.5,92.7,25.9,69.0,1.45,19.2,29.2,79.3,56.6,18.5,56.7,62.9,108.5,63.7
51,UTA,UTA vs. DAL,08/10/2020,L,48,122.6,131.2,-8.6,71.8,2.33,21.2,27.3,76.3,50.0,12.9,60.4,62.8,93.0,46.2
52,MIL,MIL vs. TOR,08/10/2020,L,48,99.1,108.6,-9.5,75.8,1.32,17.0,26.8,69.5,48.7,17.8,47.6,53.3,106.0,46.2
53,OKC,OKC @ PHX,08/10/2020,L,48,92.7,118.5,-25.9,68.6,1.26,16.7,20.7,70.8,43.4,17.4,46.1,50.9,108.5,36.3
54,NOP,NOP vs. SAS,08/09/2020,L,48,105.6,111.9,-6.3,71.4,1.5,19.2,33.9,65.3,48.6,18.7,50.0,53.5,108.0,44.1
55,WAS,WAS @ OKC,08/09/2020,L,48,104.0,122.2,-18.2,60.5,1.44,16.2,35.1,78.6,53.5,16.2,46.2,50.6,99.0,40.2
56,SAS,SAS @ NOP,08/09/2020,W,48,111.9,105.6,6.3,55.0,1.29,14.9,34.7,66.1,51.4,15.6,51.1,59.2,108.0,55.9
57,BOS,BOS vs. ORL,08/09/2020,W,53,110.9,106.3,4.7,71.1,2.46,20.3,27.1,68.3,48.4,11.8,50.0,54.2,100.53,56.3
58,LAC,LAC vs. BKN,08/09/2020,L,48,122.4,129.0,-6.6,51.1,2.3,17.4,22.0,73.2,45.1,10.2,55.4,58.9,99.0,45.4
59,POR,POR vs. PHI,08/09/2020,W,48,121.6,118.6,2.9,44.2,1.9,14.5,24.0,66.0,45.6,9.8,53.3,59.8,102.0,53.2
60,MEM,MEM @ TOR,08/09/2020,L,48,92.5,100.9,-8.4,64.9,1.09,16.6,26.3,85.4,51.0,20.6,48.4,50.5,107.0,41.0
61,PHI,PHI @ POR,08/09/2020,L,48,118.6,121.6,-2.9,51.1,1.6,16.7,34.0,76.0,54.4,14.7,55.7,57.9,102.0,46.8
62,BKN,BKN @ LAC,08/09/2020,W,48,129.0,122.4,6.6,68.1,2.0,22.4,26.8,78.0,54.9,16.0,67.1,69.1,99.0,54.6
63,TOR,TOR vs. MEM,08/09/2020,W,48,100.9,92.5,8.4,73.5,0.96,18.1,14.6,73.7,49.0,24.3,58.5,63.1,107.0,59.0
64,HOU,HOU @ SAC,08/09/2020,W,48,116.2,101.8,14.4,48.8,1.4,14.7,21.6,87.2,53.1,13.5,57.1,61.9,110.5,54.1
65,OKC,OKC vs. WAS,08/09/2020,W,48,122.2,104.0,18.2,58.1,2.08,18.8,21.4,64.9,46.5,12.1,61.9,64.6,99.0,59.8
66,SAC,SAC vs. HOU,08/09/2020,L,48,101.8,116.2,-14.4,70.7,1.61,20.0,12.8,78.4,46.9,16.4,52.9,57.7,110.5,45.9
67,ORL,ORL @ BOS,08/09/2020,L,53,106.3,110.9,-4.7,58.5,1.71,15.4,31.7,72.9,51.6,12.5,47.5,52.5,100.53,43.7
68,UTA,UTA @ DEN,08/08/2020,L,58,110.0,110.7,-0.7,72.3,1.48,20.0,30.6,76.7,53.3,19.2,55.2,57.6,99.72,45.1
69,DEN,DEN vs. UTA,08/08/2020,W,58,110.7,110.0,0.7,56.9,2.64,17.8,23.3,69.4,46.7,9.1,51.4,55.3,99.72,54.9
70,POR,POR vs. LAC,08/08/2020,L,48,115.8,120.8,-5.0,54.5,2.18,17.8,20.8,72.3,46.3,10.9,58.3,60.0,101.0,46.8
71,MIL,MIL @ DAL,08/08/2020,L,53,114.8,117.2,-2.5,55.3,2.0,17.2,20.0,70.1,47.5,11.3,55.1,57.9,104.6,47.4
72,PHX,PHX @ MIA,08/08/2020,W,48,119.0,110.9,8.1,61.4,2.45,19.3,27.1,87.0,56.4,11.0,54.3,59.0,100.5,52.4
73,LAL,LAL @ IND,08/08/2020,L,48,108.8,113.7,-4.9,47.6,1.33,13.8,38.3,75.0,53.0,14.7,48.5,51.2,102.0,44.5
74,IND,IND vs. LAL,08/08/2020,W,48,113.7,108.8,4.9,56.8,1.25,18.4,25.0,61.7,47.0,19.6,61.3,64.3,102.0,55.5
75,DAL,DAL vs. MIL,08/08/2020,W,53,117.2,114.8,2.5,77.1,5.29,21.5,29.9,80.0,52.5,6.0,49.1,54.0,104.6,52.6
76,LAC,LAC @ POR,08/08/2020,W,48,120.8,115.8,5.0,57.1,1.71,17.4,27.7,79.2,53.7,13.9,58.2,62.7,101.0,53.2
77,MIA,MIA vs. PHX,08/08/2020,L,48,110.9,119.0,-8.1,68.3,2.33,20.7,13.0,72.9,43.6,11.9,55.4,59.8,100.5,47.6
78,SAS,SAS vs. UTA,08/07/2020,W,48,113.3,105.7,7.6,60.0,2.08,19.1,20.4,75.4,50.0,12.4,55.6,59.2,105.0,55.4
79,NOP,NOP vs. WAS,08/07/2020,W,48,114.6,103.9,10.7,59.5,1.25,17.2,34.0,73.1,53.9,19.4,54.5,59.3,103.0,57.3
80,PHI,PHI vs. ORL,08/07/2020,W,48,110.2,104.1,6.1,50.0,2.11,13.7,35.5,73.1,52.6,9.2,45.2,50.2,97.5,53.0
81,WAS,WAS @ NOP,08/07/2020,L,48,103.9,114.6,-10.7,57.9,1.38,15.8,26.9,66.0,46.1,15.5,47.8,53.4,103.0,42.7
82,BOS,BOS @ TOR,08/07/2020,W,48,117.3,94.3,23.0,57.4,1.8,18.9,23.5,81.5,53.3,14.4,57.3,59.2,105.0,57.6
83,ORL,ORL @ PHI,08/07/2020,L,48,104.1,110.2,-6.1,45.9,1.55,13.3,26.9,64.5,47.4,11.3,46.6,51.0,97.5,47.0
84,TOR,TOR vs. BOS,08/07/2020,L,48,94.3,117.3,-23.0,52.6,1.11,14.7,18.5,76.5,46.7,17.0,48.3,51.8,105.0,42.4
85,SAC,SAC @ BKN,08/07/2020,L,48,105.0,116.7,-11.7,50.0,1.27,14.1,27.8,80.0,52.9,14.9,49.4,53.2,101.5,40.3
86,BKN,BKN vs. SAC,08/07/2020,W,48,116.7,105.0,11.7,71.4,2.73,21.1,20.0,72.2,47.1,10.8,58.7,60.5,101.5,59.7
87,UTA,UTA @ SAS,08/07/2020,L,48,105.7,113.3,-7.6,65.8,1.56,17.4,24.6,79.6,50.0,15.2,50.5,54.6,105.0,44.6
88,OKC,OKC @ MEM,08/07/2020,L,48,92.0,121.0,-29.0,55.9,1.9,14.1,25.0,65.8,40.2,10.0,41.8,44.4,100.0,31.0
89,MEM,MEM vs. OKC,08/07/2020,W,48,121.0,92.0,29.0,52.2,1.2,17.5,34.2,75.0,59.8,20.0,62.0,65.9,100.0,69.0
90,LAL,LAL @ HOU,08/06/2020,L,48,92.4,106.6,-14.2,51.4,0.72,13.1,30.4,77.6,54.7,23.8,46.8,52.2,105.5,46.1
91,IND,IND @ PHX,08/06/2020,L,48,96.1,110.7,-14.6,54.1,1.33,15.6,12.0,68.0,40.0,14.6,49.4,53.0,103.0,40.2
92,POR,POR @ DEN,08/06/2020,W,48,133.0,121.1,11.9,69.8,3.33,21.4,32.0,67.4,48.4,9.6,59.2,62.0,94.5,52.0
93,MIL,MIL vs. MIA,08/06/2020,W,48,121.5,109.4,12.1,65.9,1.93,19.3,15.4,81.6,52.3,13.1,62.2,68.6,106.5,59.2
94,HOU,HOU vs. LAL,08/06/2020,W,48,106.6,92.4,14.2,72.2,1.3,18.2,22.4,69.6,45.3,18.9,55.4,60.0,105.5,53.9
95,MIA,MIA @ MIL,08/06/2020,L,48,109.4,121.5,-12.1,80.0,1.47,19.6,18.4,84.6,47.7,17.9,54.8,61.1,106.5,40.8
96,PHX,PHX vs. IND,08/06/2020,W,48,110.7,96.1,14.6,62.8,1.69,18.6,32.0,88.0,60.0,15.5,51.6,56.5,103.0,59.8
97,LAC,LAC @ DAL,08/06/2020,W,48,131.3,116.8,14.4,44.0,2.75,17.1,30.2,80.4,57.4,8.3,62.0,63.9,95.5,55.6
98,SAC,SAC vs. NOP,08/06/2020,W,48,137.3,123.8,13.5,52.0,3.25,17.9,37.0,78.4,55.4,7.8,62.4,65.1,101.5,55.5
99,NOP,NOP @ SAC,08/06/2020,L,48,123.8,137.3,-13.5,66.0,1.82,22.1,21.6,63.0,44.6,16.8,65.9,67.8,101.5,44.5
100,DEN,DEN vs. POR,08/06/2020,L,48,121.1,133.0,-11.9,68.2,1.88,22.1,32.6,68.0,51.6,16.8,60.7,62.9,94.5,48.0
101,DAL,DAL vs. LAC,08/06/2020,L,48,116.8,131.3,-14.4,61.5,3.0,18.6,19.6,69.8,42.6,8.4,54.6,57.7,95.5,44.4
102,TOR,TOR @ ORL,08/05/2020,W,48,104.8,96.1,8.7,65.8,1.67,18.7,11.6,81.8,51.0,14.4,56.4,59.8,103.5,56.8
103,SAS,SAS vs. DEN,08/05/2020,L,48,124.8,132.0,-7.2,63.0,3.22,19.9,32.7,65.1,47.8,8.9,55.4,60.1,100.5,47.2
104,WAS,WAS vs. PHI,08/05/2020,L,48,96.1,104.9,-8.8,47.2,1.13,13.1,22.4,79.6,51.0,14.7,46.5,51.3,102.0,43.3
105,OKC,OKC @ LAL,08/05/2020,W,48,102.9,84.3,18.6,50.0,1.21,13.4,16.7,81.0,53.2,13.7,46.2,55.4,102.0,65.5
106,PHI,PHI @ WAS,08/05/2020,W,48,104.9,96.1,8.8,71.1,1.93,19.4,20.4,77.6,49.0,13.7,53.0,56.5,102.0,56.7
107,ORL,ORL vs. TOR,08/05/2020,L,48,96.1,104.8,-8.7,74.3,2.0,18.7,18.2,88.4,49.0,12.6,46.6,50.3,103.5,43.2
108,DEN,DEN @ SAS,08/05/2020,W,48,132.0,124.8,7.2,62.0,2.21,21.2,34.9,67.3,52.2,14.0,62.6,65.8,100.5,52.8
109,MEM,MEM @ UTA,08/05/2020,L,48,110.6,117.0,-6.4,48.8,1.5,15.3,24.5,68.1,45.8,13.5,53.3,56.4,105.0,44.1
110,BOS,BOS vs. BKN,08/05/2020,W,48,136.7,106.5,30.2,58.0,2.07,19.7,24.4,75.5,53.2,12.8,68.2,72.1,108.5,64.3
111,LAL,LAL vs. OKC,08/05/2020,L,48,84.3,102.9,-18.6,54.8,1.55,13.1,19.0,83.3,46.8,10.8,38.1,42.7,102.0,34.5
112,BKN,BKN @ BOS,08/05/2020,L,48,106.5,136.7,-30.2,51.1,1.28,16.1,24.5,75.6,46.8,16.7,51.6,55.2,108.5,35.7
113,UTA,UTA vs. MEM,08/05/2020,W,48,117.0,110.6,6.4,65.8,1.39,17.4,31.9,75.5,54.2,17.0,56.0,62.9,105.0,55.9
114,MIA,MIA vs. BOS,08/04/2020,W,48,117.9,111.6,6.3,64.7,1.69,16.9,29.2,62.0,45.9,13.7,53.9,59.5,95.0,56.7
115,HOU,HOU @ POR,08/04/2020,L,48,100.0,106.8,-6.8,70.6,2.4,18.0,12.3,66.7,40.2,9.8,50.0,52.3,102.5,43.2
116,MIL,MIL vs. BKN,08/04/2020,L,48,106.4,112.3,-5.8,66.7,1.47,18.7,25.5,83.9,57.5,17.4,57.4,59.1,107.5,52.3
117,IND,IND vs. ORL,08/04/2020,W,48,121.2,112.4,8.8,63.0,4.14,21.8,12.5,73.3,44.7,7.1,62.5,65.0,98.0,59.8
118,ORL,ORL @ IND,08/04/2020,L,48,112.4,121.2,-8.8,53.8,1.17,16.2,26.7,87.5,55.3,18.6,54.9,59.2,98.0,40.2
119,DAL,DAL @ SAC,08/04/2020,W,53,107.5,100.9,6.6,66.7,1.29,14.7,34.9,73.0,54.0,16.0,41.7,50.9,97.36,53.7
120,BOS,BOS @ MIA,08/04/2020,L,48,111.6,117.9,-6.3,40.5,0.94,11.7,38.0,70.8,54.1,16.8,49.4,54.7,95.0,43.3
121,LAC,LAC vs. PHX,08/04/2020,L,48,115.0,118.2,-3.2,50.0,2.1,16.2,20.5,79.6,53.1,10.0,54.1,59.4,99.5,52.1
122,POR,POR vs. HOU,08/04/2020,W,48,106.8,100.0,6.8,46.2,1.5,12.8,33.3,87.7,59.8,11.7,47.4,51.0,102.5,56.8
123,BKN,BKN @ MIL,08/04/2020,W,48,112.3,106.4,5.8,69.8,4.29,20.5,16.1,74.5,42.5,6.6,51.9,54.1,107.5,47.7
124,SAC,SAC vs. DAL,08/04/2020,L,53,100.9,107.5,-6.6,60.5,2.36,17.4,27.0,65.1,46.0,10.1,49.0,50.3,97.36,46.3
125,PHX,PHX @ LAC,08/04/2020,W,48,118.2,115.0,3.2,55.6,3.13,18.5,20.4,79.5,46.9,8.1,55.7,57.3,99.5,47.9
